downloads,documentation,link_update
http://www.nyc.gov/html/dcp/download/bytes/bk_mappluto_13v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/altnames_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyct2010av_001.zip
http://www.nyc.gov/html/dcp/download/bytes/bk_mappluto13v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/block_user_guide_07c.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyct2010wiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/bx_mappluto_13v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/cd_user_guide_07c.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycb2010av_001.zip
http://www.nyc.gov/html/dcp/download/bytes/bx_mappluto13v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/dcplion_geocode.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycb2010wiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_12c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/ldf_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyct2000av_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_13a.zip,http://www.nyc.gov/html/dcp/pdf/bytes/lion_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyct2000wiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_13b.zip,http://www.nyc.gov/html/dcp/pdf/bytes/mappluto_user_guide_07c.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycb2000av_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_13b_post.zip,http://www.nyc.gov/html/dcp/pdf/bytes/node_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycb2000wiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_13c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/node_stname_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_lion_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_13c_post.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyad_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_pad_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_13d.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyadwi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_snd_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_13d_post.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nybb_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_ldf_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_14a.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nybbwi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgiszoningfeatures_fgdb_001.zip
http://www.nyc.gov/html/dcp/download/bytes/gde_setup.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycb2000_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgiszoningfeatures_shp_001.zip
http://www.nyc.gov/html/dcp/download/bytes/ldf_12c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycb2000wi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgissidewalkcafe_fgdb_001.zip
http://www.nyc.gov/html/dcp/download/bytes/ldf_13a.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycb2010_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgissidewalkcafe_shp_001.zip
http://www.nyc.gov/html/dcp/download/bytes/ldf_13b.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycb2010wi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyczoningtaxlot_gdb_001.zip
http://www.nyc.gov/html/dcp/download/bytes/ldf_13c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycc_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_ih_001.zip
http://www.nyc.gov/html/dcp/download/bytes/ldf_13d.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyccwi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyppav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/ldf_14a.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycd_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyfcav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_02b.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycdwi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyfdav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_03c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycg_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyfbav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_04c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nycgwi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nysdav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_05d.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyco_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyhaav_001.zipﾠﾠ
http://www.nyc.gov/html/dcp/download/bytes/mappluto_06c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyct2000_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyhcav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_07c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyct2000wi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyedav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_09v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyct2010_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyedwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_09v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyct2010wi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_10v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyed_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_10v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyedwi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyccav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_11v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyfb_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyccwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_11v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyfc_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyadav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_12v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyfd_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyadwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_12v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyha_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyssav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_13v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyhc_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nysswiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_13v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyhez_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nymcav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_1999.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nylh_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nymcwiav_001.zip
