name,link
2010 Census Tracts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyct2010av_001.zip
2010 Census Tracts (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyct2010wiav_001.zip
2010 Census Blocks,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycb2010av_001.zip
2010 Census Blocks (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycb2010wiav_001.zip
2000 Census Tracts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyct2000av_001.zip
2000 Census Tracts (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyct2000wiav_001.zip
2000 Census Blocks,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycb2000av_001.zip
2000 Census Blocks (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycb2000wiav_001.zip
LION,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_lion_001.zip
Property Address Directory,http://www.nyc.gov/html/dcp/download/biggapps/DCP_pad_001.zip
Street Name Dictionary,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_snd_001.zip
LION Differences Files,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_ldf_001.zip
Zoning GIS Data: ESRI Geo-database,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgiszoningfeatures_fgdb_001.zip
Zoning GIS Data: Shapefile,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgiszoningfeatures_shp_001.zip
Sidewalk Café Regulations GIS: Geodatabase,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgissidewalkcafe_fgdb_001.zip
Sidewalk Café Regulations GIS: Shapefile,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgissidewalkcafe_shp_001.zip
NYC Zoning Tax Lot,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyczoningtaxlot_gdb_001.zip
Inclusionary Housing Designated Areas,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_ih_001.zip
Police Precincts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyppav_001.zip
Fire Companies,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyfcav_001.zip
Fire Divisions,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyfdav_001.zip
Fire Battalions,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyfbav_001.zip
School Districts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nysdav_001.zip
Health Areas,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyhaav_001.zip  
Health Center Districts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyhcav_001.zip
Political & Election Districts GIS: Election Districts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyedav_001.zip
Election Districts (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyedwiav_001.zip
Congressional Districts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgav_001.zip
Congressional Districts (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgwiav_001.zip
City Council Districts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyccav_001.zip
City Council Districts (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyccwiav_001.zip
State Assembly Districts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyadav_001.zip
State Assembly Districts (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyadwiav_001.zip
State Senate Districts,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyssav_001.zip
State Senate Districts (water areas included),http://www.nyc.gov/html/dcp/download/biggapps/DCP_nysswiav_001.zip
